Order_ID,Order_Date,Ship_Date,Segment,State,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-10060,2020-02-26,2020-03-02,Consumer,Michigan,Central,Furniture,Bookcases,1634.14,7,0.4,194.18
ORD-10061,2020-02-27,2020-03-03,Consumer,Illinois,Central,Furniture,Tables,704.21,6,0.0,58.46
ORD-10062,2020-02-28,2020-03-05,Consumer,Florida,South,Office Supplies,Art,121.69,5,0.4,-2.66
ORD-10063,2020-02-29,2020-03-03,Consumer,Michigan,East,Office Supplies,Art,410.83,4,0.4,44.46
ORD-10064,2020-02-29,2020-03-07,Consumer,New York,East,Technology,Laptops,219.47,6,0.3,11.68
ORD-10065,2020-02-29,2020-03-07,Consumer,Georgia,East,Furniture,Chairs,893.08,7,0.1,59.51
ORD-10066,2020-02-29,2020-03-02,Corporate,Washington,East,Furniture,Furnishings,327.74,1,0.2,16.81
ORD-10067,2020-03-02,2020-03-05,Home Office,California,East,Office Supplies,Labels,472.03,7,0.1,45.77
ORD-10068,2020-03-03,2020-03-07,Consumer,Illinois,South,Technology,Copiers,1652.61,1,0.0,431.18
ORD-10069,2020-03-04,2020-03-10,Corporate,Illinois,West,Office Supplies,Labels,188.18,9,0.3,36.04
ORD-10070,2020-03-04,2020-03-07,Corporate,Florida,South,Furniture,Tables,1928.65,6,0.0,242.11
ORD-10071,2020-03-05,2020-03-09,Home Office,Texas,Central,Office Supplies,Envelopes,253.65,6,0.0,35.58
ORD-10072,2020-03-06,2020-03-10,Home Office,Pennsylvania,East,Office Supplies,Binders,149.57,9,0.3,-13.3
ORD-10073,2020-03-06,2020-03-09,Consumer,Texas,West,Technology,Copiers,1906.78,6,0.3,96.87
ORD-10074,2020-03-07,2020-03-11,Consumer,Ohio,South,Technology,Accessories,344.14,6,0.2,11.56
ORD-10075,2020-03-08,2020-03-15,Corporate,Washington,West,Office Supplies,Labels,455.05,1,0.1,32.7
ORD-10076,2020-03-09,2020-03-16,Consumer,Pennsylvania,Central,Technology,Copiers,605.71,5,0.4,-1.92
ORD-10077,2020-03-14,2020-03-19,Home Office,Florida,Central,Technology,Accessories,2959.82,3,0.1,214.93
ORD-10078,2020-03-14,2020-03-21,Corporate,Georgia,Central,Technology,Copiers,2081.98,9,0.3,267.51
ORD-10079,2020-03-16,2020-03-18,Home Office,Ohio,West,Technology,Laptops,865.39,6,0.4,59.25
ORD-10080,2020-03-16,2020-03-22,Home Office,Georgia,West,Office Supplies,Paper,190.21,10,0.1,36.08
ORD-10081,2020-03-17,2020-03-24,Home Office,Ohio,Central,Technology,Laptops,1973.88,4,0.0,415.96
ORD-10082,2020-03-18,2020-03-21,Home Office,Ohio,West,Office Supplies,Envelopes,54.24,8,0.0,16.3
ORD-10083,2020-03-18,2020-03-25,Home Office,California,South,Office Supplies,Envelopes,167.18,8,0.4,-15.72
ORD-10084,2020-03-19,2020-03-21,Corporate,California,South,Furniture,Chairs,177.47,10,0.1,31.46
ORD-10085,2020-03-19,2020-03-21,Home Office,New York,Central,Technology,Copiers,2097.18,1,0.4,-304.14
ORD-10086,2020-03-20,2020-03-24,Corporate,Texas,Central,Furniture,Chairs,1072.98,7,0.1,72.91
ORD-10087,2020-03-21,2020-03-28,Corporate,New York,South,Furniture,Furnishings,1325.83,3,0.4,-129.52
ORD-10088,2020-03-21,2020-03-28,Home Office,Pennsylvania,East,Furniture,Chairs,1412.78,3,0.4,-48.01
ORD-10089,2020-03-22,2020-03-28,Corporate,Ohio,West,Technology,Phones,2822.84,7,0.4,-306.97
ORD-10090,2020-03-22,2020-03-25,Corporate,Washington,East,Furniture,Tables,748.03,5,0.1,25.46
ORD-10091,2020-03-22,2020-03-25,Home Office,Pennsylvania,West,Office Supplies,Paper,463.1,1,0.4,52.42
ORD-10092,2020-03-23,2020-03-30,Home Office,California,West,Technology,Phones,922.24,10,0.3,90.38
ORD-10093,2020-03-23,2020-03-26,Home Office,California,East,Office Supplies,Paper,410.44,8,0.3,27.32
ORD-10094,2020-03-25,2020-04-01,Consumer,Georgia,West,Office Supplies,Binders,269.53,4,0.2,6.08
ORD-10095,2020-03-25,2020-03-28,Consumer,Illinois,Central,Office Supplies,Art,55.62,9,0.1,14.97
ORD-10096,2020-03-26,2020-04-02,Consumer,Georgia,Central,Furniture,Bookcases,1810.79,3,0.4,72.31
ORD-10097,2020-03-27,2020-03-31,Consumer,Washington,South,Office Supplies,Envelopes,176.12,9,0.3,0.84
ORD-10098,2020-03-29,2020-04-04,Consumer,Illinois,South,Office Supplies,Envelopes,365.72,3,0.3,61.86
ORD-10099,2020-03-29,2020-04-04,Corporate,Texas,East,Furniture,Tables,1785.46,1,0.3,239.18
ORD-10100,2020-03-30,2020-04-03,Corporate,Florida,East,Furniture,Furnishings,1319.86,4,0.2,-32.68
ORD-10101,2020-03-30,2020-04-01,Corporate,New York,South,Office Supplies,Paper,89.2,4,0.4,10.67
ORD-10102,2020-03-31,2020-04-03,Consumer,Florida,West,Furniture,Furnishings,1252.22,9,0.4,-184.38
ORD-10103,2020-03-31,2020-04-07,Corporate,California,Central,Furniture,Tables,292.8,4,0.1,58.28
ORD-10104,2020-04-02,2020-04-05,Home Office,Michigan,East,Technology,Copiers,214.17,7,0.1,10.33
ORD-10105,2020-04-03,2020-04-07,Corporate,Ohio,Central,Office Supplies,Art,278.88,6,0.4,16.05
ORD-10106,2020-04-03,2020-04-06,Corporate,New York,South,Furniture,Bookcases,1338.73,6,0.3,-43.8
ORD-10107,2020-04-03,2020-04-05,Consumer,Michigan,South,Furniture,Bookcases,1453.14,3,0.1,103.43
ORD-10108,2020-04-04,2020-04-09,Consumer,Florida,Central,Furniture,Furnishings,718.26,4,0.2,124.94
ORD-10109,2020-04-04,2020-04-11,Home Office,Washington,South,Office Supplies,Binders,328.32,8,0.2,67.23
ORD-10110,2020-04-06,2020-04-13,Consumer,Washington,South,Office Supplies,Envelopes,332.23,3,0.1,56.64
ORD-10111,2020-04-10,2020-04-12,Home Office,California,East,Office Supplies,Envelopes,55.9,1,0.4,-2.22
ORD-10112,2020-04-11,2020-04-18,Corporate,Texas,West,Office Supplies,Paper,139.95,2,0.1,10.24
ORD-10113,2020-04-12,2020-04-18,Home Office,Ohio,East,Technology,Phones,2924.43,1,0.2,198.65
ORD-10114,2020-04-12,2020-04-18,Home Office,Ohio,South,Office Supplies,Labels,447.1,1,0.0,107.01
ORD-10115,2020-04-12,2020-04-16,Consumer,Georgia,West,Office Supplies,Envelopes,399.46,9,0.2,40.26
ORD-10116,2020-04-13,2020-04-16,Consumer,New York,East,Technology,Copiers,1815.33,3,0.4,-4.07
ORD-10117,2020-04-13,2020-04-18,Corporate,Pennsylvania,Central,Technology,Accessories,746.68,6,0.0,199.17
ORD-10118,2020-04-14,2020-04-19,Corporate,New York,East,Furniture,Tables,633.47,2,0.0,36.29
ORD-10119,2020-04-15,2020-04-20,Consumer,California,South,Furniture,Furnishings,1326.4,2,0.1,70.48
ORD-10120,2020-04-15,2020-04-22,Home Office,California,West,Furniture,Bookcases,1886.87,4,0.1,539.98
ORD-10121,2020-04-15,2020-04-21,Consumer,New York,Central,Office Supplies,Envelopes,458.28,9,0.2,27.98
ORD-10122,2020-04-16,2020-04-19,Corporate,California,East,Office Supplies,Paper,17.57,10,0.1,4.89
ORD-10123,2020-04-16,2020-04-22,Corporate,Texas,West,Office Supplies,Envelopes,219.81,4,0.4,30.77
ORD-10124,2020-04-17,2020-04-24,Home Office,Texas,South,Furniture,Bookcases,1930.88,9,0.0,590.66
ORD-10125,2020-04-17,2020-04-23,Corporate,Florida,West,Furniture,Chairs,659.45,6,0.0,109.16
ORD-10126,2020-04-17,2020-04-22,Corporate,California,South,Office Supplies,Labels,427.06,8,0.2,19.25
ORD-10127,2020-04-19,2020-04-21,Corporate,Texas,South,Technology,Accessories,674.58,7,0.4,11.5
ORD-10128,2020-04-19,2020-04-22,Home Office,New York,East,Office Supplies,Art,468.72,5,0.0,121.31
ORD-10129,2020-04-20,2020-04-22,Corporate,Washington,South,Furniture,Tables,1183.12,2,0.0,93.65
ORD-10130,2020-04-21,2020-04-24,Corporate,New York,Central,Furniture,Furnishings,1268.51,2,0.1,376.77
ORD-10131,2020-04-21,2020-04-27,Consumer,California,South,Furniture,Furnishings,366.16,6,0.0,75.25
ORD-10132,2020-04-22,2020-04-24,Consumer,Illinois,South,Technology,Accessories,2656.64,7,0.3,324.72
ORD-10133,2020-04-24,2020-04-27,Home Office,Georgia,East,Office Supplies,Labels,351.54,7,0.1,74.09
ORD-10134,2020-04-24,2020-04-27,Corporate,Ohio,Central,Technology,Accessories,1206.58,2,0.1,106.27
ORD-10135,2020-04-25,2020-04-29,Corporate,Ohio,South,Furniture,Bookcases,1637.79,6,0.0,479.93
ORD-10136,2020-04-26,2020-04-28,Corporate,New York,East,Technology,Copiers,2627.8,5,0.1,719.94
ORD-10137,2020-04-26,2020-05-03,Corporate,Ohio,South,Furniture,Bookcases,1071.55,7,0.2,107.64
ORD-10138,2020-04-27,2020-05-01,Corporate,Michigan,Central,Office Supplies,Binders,401.16,8,0.1,78.22
ORD-10139,2020-04-28,2020-05-02,Corporate,Ohio,Central,Technology,Copiers,2165.51,4,0.4,192.16
ORD-10140,2020-04-29,2020-05-05,Corporate,New York,South,Furniture,Bookcases,1791.01,4,0.4,-87.05
ORD-10141,2020-04-30,2020-05-04,Home Office,Ohio,West,Office Supplies,Binders,194.04,8,0.1,5.47
ORD-10142,2020-04-30,2020-05-03,Home Office,Ohio,South,Office Supplies,Paper,293.36,5,0.1,3.16
ORD-10143,2020-05-02,2020-05-07,Corporate,New York,South,Furniture,Tables,984.64,10,0.3,61.83
ORD-10144,2020-05-02,2020-05-08,Home Office,California,South,Office Supplies,Envelopes,150.41,9,0.2,19.14
ORD-10145,2020-05-03,2020-05-05,Consumer,Washington,West,Office Supplies,Paper,24.95,10,0.1,0.28
ORD-10146,2020-05-04,2020-05-08,Corporate,New York,Central,Office Supplies,Envelopes,413.07,2,0.0,65.29
ORD-10147,2020-05-04,2020-05-11,Corporate,Pennsylvania,South,Technology,Laptops,555.77,10,0.3,31.5
ORD-10148,2020-05-04,2020-05-09,Consumer,Ohio,Central,Office Supplies,Binders,387.3,5,0.0,44.44
ORD-10149,2020-05-04,2020-05-07,Corporate,Illinois,East,Technology,Phones,1944.09,8,0.2,-47.43
ORD-10150,2020-05-06,2020-05-10,Corporate,New York,Central,Office Supplies,Envelopes,35.32,8,0.3,2.1
ORD-10151,2020-05-07,2020-05-14,Home Office,New York,West,Technology,Accessories,1713.78,6,0.0,413.41
ORD-10152,2020-05-09,2020-05-13,Home Office,Texas,East,Technology,Laptops,2233.06,3,0.4,318.78
ORD-10153,2020-05-10,2020-05-17,Consumer,Pennsylvania,South,Office Supplies,Envelopes,262.99,3,0.1,25.48
ORD-10154,2020-05-10,2020-05-16,Consumer,Michigan,South,Office Supplies,Envelopes,399.64,8,0.1,32.47
ORD-10155,2020-05-11,2020-05-18,Home Office,Florida,West,Furniture,Furnishings,934.05,5,0.1,21.98
ORD-10156,2020-05-11,2020-05-13,Corporate,Washington,East,Technology,Phones,270.98,8,0.1,78.26
ORD-10157,2020-05-13,2020-05-19,Home Office,Pennsylvania,Central,Furniture,Furnishings,1688.36,7,0.4,99.26
ORD-10158,2020-05-14,2020-05-20,Corporate,Michigan,Central,Technology,Accessories,1345.07,5,0.1,69.93
ORD-10159,2020-05-14,2020-05-16,Corporate,New York,East,Office Supplies,Paper,86.65,5,0.1,6.51
ORD-10160,2020-05-15,2020-05-18,Home Office,Pennsylvania,East,Technology,Accessories,1737.83,10,0.3,198.77
ORD-10161,2020-05-17,2020-05-23,Consumer,Ohio,South,Office Supplies,Envelopes,333.5,3,0.4,-22.02
ORD-10162,2020-05-18,2020-05-24,Consumer,Texas,Central,Technology,Copiers,2873.62,8,0.2,492.45
ORD-10163,2020-05-19,2020-05-25,Corporate,Texas,West,Technology,Accessories,1752.19,7,0.1,321.56
ORD-10164,2020-05-19,2020-05-24,Home Office,Ohio,South,Office Supplies,Envelopes,215.6,8,0.3,-5.54
ORD-10165,2020-05-20,2020-05-23,Consumer,Illinois,West,Technology,Phones,1196.72,5,0.0,331.91
ORD-10166,2020-05-20,2020-05-26,Corporate,Michigan,East,Office Supplies,Art,17.05,9,0.3,-1.11
ORD-10167,2020-05-20,2020-05-27,Home Office,Washington,Central,Technology,Phones,328.81,1,0.4,-45.3
ORD-10168,2020-05-20,2020-05-25,Consumer,Florida,South,Furniture,Tables,1725.38,1,0.2,277.95
ORD-10169,2020-05-20,2020-05-27,Corporate,New York,West,Furniture,Bookcases,1000.93,4,0.1,29.38
ORD-10170,2020-05-21,2020-05-24,Consumer,Michigan,South,Office Supplies,Art,250.89,4,0.1,35.64
ORD-10171,2020-05-21,2020-05-28,Home Office,Georgia,Central,Technology,Accessories,684.97,6,0.1,89.15
ORD-10172,2020-05-22,2020-05-24,Home Office,New York,Central,Furniture,Bookcases,857.16,7,0.1,158.36
ORD-10173,2020-05-22,2020-05-29,Consumer,Texas,East,Furniture,Tables,1306.68,4,0.2,-47.57
ORD-10174,2020-05-22,2020-05-27,Home Office,Illinois,East,Furniture,Furnishings,811.76,7,0.3,71.24
ORD-10175,2020-05-22,2020-05-27,Home Office,Illinois,South,Technology,Phones,1608.78,8,0.2,332.93
ORD-10176,2020-05-23,2020-05-29,Home Office,Ohio,West,Furniture,Chairs,1351.52,2,0.2,-1.51
ORD-10177,2020-05-25,2020-05-29,Consumer,Ohio,South,Furniture,Tables,234.08,6,0.2,33.41
ORD-10178,2020-05-25,2020-06-01,Corporate,California,South,Furniture,Tables,150.37,2,0.0,33.94
ORD-10179,2020-05-25,2020-05-30,Consumer,Ohio,West,Furniture,Chairs,1886.44,1,0.3,137.04
ORD-10180,2020-05-26,2020-05-30,Consumer,Illinois,Central,Technology,Laptops,1286.88,6,0.0,312.69
ORD-10181,2020-05-26,2020-05-31,Consumer,Pennsylvania,East,Technology,Accessories,1483.11,4,0.2,168.61
ORD-10182,2020-05-27,2020-05-30,Consumer,Florida,West,Office Supplies,Paper,471.32,2,0.3,7.46
ORD-10183,2020-05-28,2020-06-02,Consumer,California,South,Office Supplies,Binders,480.98,2,0.2,106.59
ORD-10184,2020-05-29,2020-06-05,Consumer,Florida,South,Office Supplies,Binders,105.94,2,0.3,-8.39
ORD-10185,2020-05-30,2020-06-02,Corporate,Illinois,Central,Technology,Phones,482.18,7,0.1,2.64
ORD-10186,2020-05-30,2020-06-06,Home Office,Michigan,West,Office Supplies,Binders,56.28,10,0.0,14.35
ORD-10187,2020-05-31,2020-06-06,Home Office,Florida,Central,Technology,Copiers,399.33,7,0.1,38.21
ORD-10188,2020-05-31,2020-06-06,Consumer,New York,East,Office Supplies,Envelopes,423.99,2,0.1,2.96
ORD-10189,2020-05-31,2020-06-04,Corporate,Washington,Central,Office Supplies,Envelopes,409.09,4,0.1,34.59
ORD-10190,2020-06-02,2020-06-06,Home Office,Michigan,East,Office Supplies,Paper,67.9,10,0.4,4.01
ORD-10191,2020-06-02,2020-06-05,Consumer,Georgia,Central,Office Supplies,Paper,318.18,9,0.4,36.03
ORD-10192,2020-06-03,2020-06-08,Home Office,California,Central,Office Supplies,Envelopes,370.18,8,0.1,89.23
ORD-10193,2020-06-03,2020-06-05,Home Office,Michigan,South,Technology,Laptops,989.7,9,0.0,102.17
ORD-10194,2020-06-03,2020-06-09,Corporate,Michigan,East,Furniture,Bookcases,1526.17,6,0.3,216.79
ORD-10195,2020-06-03,2020-06-05,Consumer,California,South,Office Supplies,Binders,495.35,2,0.4,-12.99
ORD-10196,2020-06-04,2020-06-11,Consumer,Pennsylvania,West,Furniture,Tables,806.83,5,0.4,66.91
ORD-10197,2020-06-05,2020-06-11,Corporate,Pennsylvania,South,Office Supplies,Labels,176.99,9,0.0,58.27
ORD-10198,2020-06-06,2020-06-09,Consumer,Illinois,Central,Office Supplies,Binders,430.62,9,0.0,76.95
ORD-10199,2020-06-07,2020-06-14,Home Office,New York,South,Technology,Accessories,2302.44,7,0.2,406.06
ORD-10200,2020-06-07,2020-06-13,Consumer,Pennsylvania,East,Technology,Phones,488.75,8,0.0,156.77
ORD-10201,2020-06-08,2020-06-15,Home Office,Texas,Central,Office Supplies,Paper,257.57,1,0.0,76.74
ORD-10202,2020-06-10,2020-06-17,Corporate,Washington,East,Technology,Phones,1096.14,9,0.4,130.06
ORD-10203,2020-06-10,2020-06-14,Consumer,Illinois,Central,Furniture,Tables,839.48,1,0.0,44.7
ORD-10204,2020-06-10,2020-06-15,Corporate,Michigan,West,Furniture,Bookcases,1820.23,8,0.0,140.86
ORD-10205,2020-06-10,2020-06-13,Corporate,Michigan,West,Office Supplies,Art,166.46,6,0.1,47.44
ORD-10206,2020-06-11,2020-06-13,Consumer,Georgia,West,Furniture,Chairs,1906.15,1,0.0,423.23
ORD-10207,2020-06-12,2020-06-14,Corporate,Pennsylvania,South,Technology,Phones,1969.14,3,0.1,264.92
ORD-10208,2020-06-13,2020-06-17,Corporate,Florida,East,Office Supplies,Envelopes,153.67,6,0.3,-0.22
ORD-10209,2020-06-13,2020-06-19,Home Office,California,West,Technology,Accessories,2083.05,4,0.1,470.17
ORD-10210,2020-06-13,2020-06-15,Corporate,Illinois,West,Technology,Copiers,2416.42,6,0.2,451.59
ORD-10211,2020-06-14,2020-06-18,Corporate,Florida,West,Office Supplies,Envelopes,54.69,10,0.2,5.38
ORD-10212,2020-06-14,2020-06-17,Corporate,Washington,East,Office Supplies,Labels,38.2,8,0.4,0.57
ORD-10213,2020-06-15,2020-06-18,Consumer,California,East,Office Supplies,Labels,226.35,1,0.3,37.64
ORD-10214,2020-06-15,2020-06-17,Corporate,California,West,Office Supplies,Art,181.95,5,0.3,-11.8
ORD-10215,2020-06-16,2020-06-18,Corporate,California,South,Technology,Laptops,600.38,5,0.1,137.16
ORD-10216,2020-06-16,2020-06-22,Home Office,Washington,South,Technology,Laptops,1931.01,2,0.3,-134.52
ORD-10217,2020-06-16,2020-06-21,Consumer,Michigan,South,Technology,Laptops,435.5,1,0.4,26.26
ORD-10218,2020-06-16,2020-06-23,Corporate,Illinois,East,Office Supplies,Binders,45.65,7,0.2,8.97
ORD-10219,2020-06-20,2020-06-23,Corporate,Illinois,Central,Office Supplies,Art,356.06,2,0.1,8.69
ORD-10220,2020-06-20,2020-06-24,Consumer,Texas,East,Technology,Phones,437.55,8,0.3,85.76
ORD-10221,2020-06-21,2020-06-25,Consumer,Ohio,Central,Furniture,Chairs,811.11,8,0.2,49.63
ORD-10222,2020-06-22,2020-06-25,Home Office,Illinois,East,Technology,Phones,2475.84,1,0.4,332.19
ORD-10223,2020-06-22,2020-06-28,Home Office,Florida,West,Furniture,Tables,1973.4,7,0.2,347.34
ORD-10224,2020-06-22,2020-06-28,Consumer,California,Central,Technology,Accessories,1253.53,8,0.3,-93.95
ORD-10225,2020-06-23,2020-06-25,Consumer,Ohio,East,Office Supplies,Labels,390.8,3,0.0,85.01
ORD-10226,2020-06-23,2020-06-30,Consumer,Florida,East,Technology,Phones,1387.82,6,0.3,238.58
ORD-10227,2020-06-24,2020-07-01,Consumer,California,Central,Office Supplies,Paper,64.49,4,0.0,12.76
ORD-10228,2020-06-24,2020-06-26,Corporate,New York,West,Furniture,Tables,121.57,8,0.0,23.17
ORD-10229,2020-06-26,2020-06-29,Corporate,California,South,Technology,Copiers,357.65,7,0.3,-23.02
ORD-10230,2020-06-27,2020-06-29,Corporate,Illinois,East,Furniture,Tables,323.3,3,0.3,30.64
ORD-10231,2020-06-29,2020-07-05,Home Office,Illinois,East,Office Supplies,Labels,375.56,7,0.3,28.17
ORD-10232,2020-06-29,2020-07-02,Corporate,Pennsylvania,West,Furniture,Chairs,1928.13,7,0.1,216.84
ORD-10233,2020-07-03,2020-07-10,Home Office,Georgia,East,Office Supplies,Labels,150.0,7,0.0,46.59
ORD-10234,2020-07-03,2020-07-08,Corporate,Michigan,South,Furniture,Furnishings,524.83,6,0.4,72.93
ORD-10235,2020-07-03,2020-07-07,Corporate,Michigan,West,Furniture,Tables,123.09,1,0.1,35.81
ORD-10236,2020-07-04,2020-07-07,Home Office,Florida,Central,Technology,Copiers,320.85,2,0.1,85.78
ORD-10237,2020-07-05,2020-07-10,Home Office,California,Central,Office Supplies,Binders,268.57,10,0.1,80.0
ORD-10238,2020-07-05,2020-07-11,Consumer,Michigan,East,Furniture,Tables,240.21,6,0.2,27.9
ORD-10239,2020-07-05,2020-07-09,Home Office,Florida,East,Technology,Accessories,2914.05,9,0.3,165.89
ORD-10240,2020-07-06,2020-07-09,Consumer,California,West,Technology,Copiers,1962.32,10,0.1,409.58
ORD-10241,2020-07-06,2020-07-10,Corporate,Michigan,West,Technology,Copiers,1472.71,3,0.1,277.26
